probe_id,symbol
201000_at,AARS1
209460_at,ABAT
203192_at,ABCB6
209380_s_at,ABCC5
200045_at,ABCF1
202394_s_at,ABCF3
218581_at,ABHD4
221552_at,ABHD6
202123_s_at,ABL1
214274_s_at,ACAA1
209608_s_at,ACAT2
202324_s_at,ACBD3
204617_s_at,ACD
210337_s_at,ACLY
221641_s_at,ACOT9
201963_at,ACSL1
202604_x_at,ADAM10
219384_s_at,ADAT1
204497_at,ADCY9
210473_s_at,ADGRA3
202910_s_at,ADGRE2
212070_at,ADGRG1
208847_s_at,ADH5
217761_at,ADI1
212500_at,ADO
206170_at,ADRB2
201924_at,AFF1
205130_at,AGER
203566_s_at,AGL
201675_at,AKAP1
203848_at,AKAP8
218064_s_at,AKAP8L
214259_s_at,AKR7A2
207163_s_at,AKT1
205633_s_at,ALAS1
208950_s_at,ALDH7A1
200966_x_at,ALDOA
202022_at,ALDOC
214221_at,ALMS1
219082_at,AMDHD2
218093_s_at,ANKRD10
219069_at,ANKRD49
218910_at,ANO10
209860_s_at,ANXA7
213419_at,APBB2
203381_s_at,APOE
200602_at,APP
202630_at,APPBP2
202128_at,AREL1
202109_at,ARFIP2
202117_at,ARHGAP1
201334_s_at,ARHGEF12
209435_s_at,ARHGEF2
204765_at,ARHGEF5
221230_s_at,ARID4B
212614_at,ARID5B
202208_s_at,ARL4C
202986_at,ARNT2
221482_s_at,ARPP19
213702_x_at,ASAH1
206414_s_at,ASAP2
212815_at,ASCC3
204608_at,ASL
209394_at,ASMTL
222103_at,ATF1
204999_s_at,ATF5
203952_at,ATF6
221492_s_at,ATG3
201855_s_at,ATMIN
212536_at,ATP11B
201243_s_at,ATP1B1
212255_s_at,ATP2C1
200078_s_at,ATP6V0B
208898_at,ATP6V1D
204092_s_at,AURKA
209464_at,AURKB
212849_at,AXIN1
203188_at,B3GNT2
217867_x_at,BACE2
209364_at,BAD
217911_s_at,BAG3
203304_at,BAMBI
208478_s_at,BAX
208445_s_at,BAZ1B
203080_s_at,BAZ2B
202331_at,BCKDHA
203685_at,BCL2
202518_at,BCL7B
211715_s_at,BDH1
208945_s_at,BECN1
201170_s_at,BHLHE40
211725_s_at,BID
202076_at,BIRC2
202095_s_at,BIRC5
201032_at,BLCAP
202179_at,BLMH
201729_s_at,BLTP2
211729_x_at,BLVRA
211518_s_at,BMP4
201849_at,BNIP3
221478_at,BNIP3L
205750_at,BPHL
204531_s_at,BRCA1
202946_s_at,BTBD3
201236_s_at,BTG2
205548_s_at,BTG3
205504_at,BTK
203755_at,BUB1B
217809_at,BZW2
212875_s_at,C2CD2
204757_s_at,C2CD2L
212943_at,C2CD5
205500_at,C5
203963_at,CA12
217873_at,CAB39
202624_s_at,CABIN1
200622_x_at,CALM1
200757_s_at,CALU
212765_at,CAMSAP2
221732_at,CANT1
200752_s_at,CAPN1
219573_at,CARMIL1
207842_s_at,CASC3
207620_s_at,CASK
205467_at,CASP10
208050_s_at,CASP2
202763_at,CASP3
207181_s_at,CASP7
208908_s_at,CAST
201432_at,CAT
209682_at,CBLB
209213_at,CBR1
205379_at,CBR3
204610_s_at,CCDC85B
203119_at,CCDC86
218175_at,CCDC92
216598_s_at,CCL2
205899_at,CCNA1
203418_at,CCNA2
214710_s_at,CCNB1
202705_at,CCNB2
208711_s_at,CCND1
201700_at,CCND3
205034_at,CCNE2
204826_at,CCNF
204093_at,CCNH
204662_at,CCP110
201743_at,CD14
206398_s_at,CD19
218529_at,CD320
205153_s_at,CD40
204489_s_at,CD44
205173_x_at,CD58
202870_s_at,CDC20
204695_at,CDC25A
201853_s_at,CDC25B
208728_s_at,CDC42
204126_s_at,CDC45
218399_s_at,CDCA4
203256_at,CDH3
212899_at,CDK19
204252_at,CDK2
202246_s_at,CDK4
204995_at,CDK5R1
207143_at,CDK6
211297_s_at,CDK7
202284_s_at,CDKN1A
209112_at,CDKN1B
207039_at,CDKN2A
204039_at,CEBPA
203973_s_at,CEBPD
203341_at,CEBPZ
218113_at,CEMIP2
205046_at,CENPE
218542_at,CEP55
203494_s_at,CEP57
218421_at,CERK
209662_at,CETN3
209939_x_at,CFLAR
204605_at,CGRRF1
219270_at,CHAC1
218642_s_at,CHCHD7
205393_s_at,CHEK1
210416_s_at,CHEK2
202230_s_at,CHERP
219492_at,CHIC2
218571_s_at,CHMP4A
218743_at,CHMP6
212624_s_at,CHN1
218742_at,CIAO3
208424_s_at,CIAPIN1
200810_s_at,CIRBP
218597_s_at,CISD1
221223_x_at,CISH
200884_at,CKB
204978_at,CLASRP
201735_s_at,CLCN3
201560_at,CLIC4
204809_at,CLPX
201561_s_at,CLSTN1
205172_x_at,CLTB
200614_at,CLTC
217870_s_at,CMPK1
217752_s_at,CNDP2
203291_at,CNOT4
217931_at,CNPY3
201913_s_at,COASY
203073_at,COG2
212189_s_at,COG4
213190_at,COG7
202310_s_at,COL1A1
211980_at,COL4A1
213110_s_at,COL4A5
201098_at,COPB2
209029_at,COPS7A
221227_x_at,COQ3
218168_s_at,COQ8A
209083_at,CORO1A
202119_s_at,CPNE3
206688_s_at,CPSF4
212115_at,CRAMP1
204313_s_at,CREB1
212345_s_at,CREB3L2
201200_at,CREG1
218358_at,CRELD2
202224_at,CRK
212180_at,CRKL
201380_at,CRTAP
202950_at,CRYZ
202329_at,CSK
206562_s_at,CSNK1A1
202332_at,CSNK1E
203575_at,CSNK2A2
200621_at,CSRP1
202521_at,CTCF
202468_s_at,CTNNAL1
208407_s_at,CTNND1
204925_at,CTNS
200766_at,CTSD
202087_s_at,CTSL
210074_at,CTSV
214074_s_at,CTTN
209774_x_at,CXCL2
211919_s_at,CXCR4
209163_at,CYB561
208905_at,CYCS
202880_s_at,CYTH1
205417_s_at,DAG1
221934_s_at,DALRD3
201763_s_at,DAXX
203302_at,DCK
201572_x_at,DCTD
212851_at,DCUN1D4
203409_at,DDB2
202887_s_at,DDIT4
1007_s_at,DDR1
204977_at,DDX10
201788_at,DDX42
210811_s_at,DDX49
202447_at,DECR1
221081_s_at,DENND2D
218102_at,DERA
203277_at,DFFA
206752_s_at,DFFB
218547_at,DHDDS
207831_x_at,DHPS
210788_s_at,DHRS7
212648_at,DHX29
203334_at,DHX8
213689_x_at,DIPK1A
209095_at,DLD
203764_at,DLGAP5
213995_at,DMAC2L
203301_s_at,DMTF1
205963_s_at,DNAJA3
200666_s_at,DNAJB1
202866_at,DNAJB12
202500_at,DNAJB2
209015_s_at,DNAJB6
218435_at,DNAJC15
215116_s_at,DNM1
203105_s_at,DNM1L
201697_s_at,DNMT1
218457_s_at,DNMT3A
202776_at,DNTTIP2
209691_s_at,DOK4
204514_at,DPH2
203258_at,DRAP1
218854_at,DSE
217901_at,DSG2
205741_s_at,DTNA
202703_at,DUSP11
203367_at,DUSP14
218845_at,DUSP22
201536_at,DUSP3
204014_at,DUSP4
208891_at,DUSP6
203303_at,DYNLT3
210151_s_at,DYRK3
207042_at,E2F2
202623_at,EAPP
201323_at,EBNA1BP2
202735_at,EBP
203013_at,ECD
200789_at,ECH1
219974_x_at,ECHDC1
203279_at,EDEM1
218995_s_at,EDN1
209572_s_at,EED
201778_s_at,EFCAB14
205031_at,EFNB3
206254_at,EGF
201984_s_at,EGFR
201693_s_at,EGR1
201738_at,EIF1B
221539_at,EIF4EBP1
208624_s_at,EIF4G1
208708_x_at,EIF5
201767_s_at,ELAC2
201727_s_at,ELAVL1
204256_at,ELOVL6
202491_s_at,ELP1
203442_x_at,EML3
217956_s_at,ENOPH1
204143_s_at,ENOSF1
201704_at,ENTPD6
201719_s_at,EPB41L2
220161_s_at,EPB41L4B
203499_at,EPHA2
206070_s_at,EPHA3
209588_at,EPHB2
202894_at,EPHB4
203464_s_at,EPN2
200843_s_at,EPRS1
216836_s_at,ERBB2
202454_s_at,ERBB3
203720_s_at,ERCC1
202414_at,ERCC5
219650_at,ERCC6L
202441_at,ERLIN1
218498_s_at,ERO1A
201931_at,ETFA
202942_at,ETFB
214447_at,ETS1
206501_x_at,ETV1
217838_s_at,EVL
218695_at,EXOSC4
201995_at,EXT1
203358_s_at,EZH2
205774_at,F12
202535_at,FADD
202862_at,FAH
220643_s_at,FAIM
220942_x_at,FAM162A
202916_s_at,FAM20B
201889_at,FAM3C
203806_s_at,FANCA
218397_at,FANCL
204781_s_at,FAS
219016_at,FASTKD5
201579_at,FAT1
218255_s_at,FBRS
220127_s_at,FBXL12
219208_at,FBXO11
212231_at,FBXO21
201178_at,FBXO7
213669_at,FCHO1
208647_at,FDFT1
203646_at,FDX1
203562_at,FEZ1
215000_s_at,FEZ2
203639_s_at,FGFR2
204579_at,FGFR4
202949_s_at,FHL2
218034_at,FIS1
219390_at,FKBP14
200895_s_at,FKBP4
209189_at,FOS
204420_at,FOSL1
206015_s_at,FOXJ3
204131_s_at,FOXO3
205451_at,FOXO4
202945_at,FPGS
221308_at,FRS2
219170_at,FSD1
205324_s_at,FTSJ1
206109_at,FUT1
221187_s_at,FUZ
210105_s_at,FYN
204451_at,FZD1
221245_s_at,FZD5
203705_s_at,FZD7
201503_at,G3BP1
202812_at,GAA
206173_x_at,GABPB1
203725_at,GADD45A
209304_x_at,GADD45B
202528_at,GALE
217398_x_at,GAPDH
203288_at,GARRE1
209710_at,GATA2
209603_at,GATA3
213343_s_at,GDPD5
202749_at,GET1
219821_s_at,GFOD1
202722_s_at,GFPT1
36936_at,GFUS
213772_s_at,GGA2
205498_at,GHR
207034_s_at,GLI2
209092_s_at,GLOD4
206662_at,GLRX
212737_at,GM2A
214106_s_at,GMDS
218350_s_at,GMNN
40562_at,GNA11
205349_at,GNA15
209576_at,GNAI1
201040_at,GNAI2
200981_x_at,GNAS
204000_at,GNB5
202382_s_at,GNPDA1
204324_s_at,GOLIM4
218193_s_at,GOLT1B
212485_at,GPATCH8
202756_s_at,GPC1
210640_s_at,GPER1
219327_s_at,GPRC5C
209409_at,GRB10
210761_s_at,GRB7
201347_x_at,GRHPR
200678_x_at,GRN
221549_at,GRWD1
204418_x_at,GSTM2
209531_at,GSTZ1
202678_at,GTF2A2
202680_at,GTF2E2
221046_s_at,GTPBP8
201673_s_at,GYS1
212206_s_at,H2AZ2
209806_at,H2BC12
202708_s_at,H2BC21
209911_x_at,H2BC5
219654_at,HACD1
217777_s_at,HACD3
201036_s_at,HADH
201007_at,HADHB
203138_at,HAT1
205919_at,HBE1
201833_at,HDAC2
204225_at,HDAC4
206846_s_at,HDAC6
209526_s_at,HDGFL3
218595_s_at,HEATR1
218450_at,HEBP1
219352_at,HERC6
217168_s_at,HERPUD1
203395_s_at,HES1
200989_at,HIF1A
200697_at,HK1
217478_s_at,HLA-DMA
208894_at,HLA-DRA
204755_x_at,HLF
210719_s_at,HMG20B
208025_s_at,HMGA2
202772_at,HMGCL
202540_s_at,HMGCR
221750_at,HMGCS1
203665_at,HMOX1
217080_s_at,HOMER2
218780_at,HOOK2
213150_at,HOXA10
213844_at,HOXA5
202854_at,HPRT1
203285_s_at,HS2ST1
202282_at,HSD17B10
217989_at,HSD17B11
200799_at,HSPA1A
211015_s_at,HSPA4
208687_x_at,HSPA8
201841_s_at,HSPB1
200807_s_at,HSPD1
202602_s_at,HTATSF1
201185_at,HTRA1
200825_s_at,HYOU1
217900_at,IARS2
202637_s_at,ICAM1
204949_at,ICAM3
201611_s_at,ICMT
201565_s_at,ID2
217496_s_at,IDE
201631_s_at,IER3
203596_s_at,IFIT5
204191_at,IFNAR1
209100_at,IFRD2
203627_at,IGF1R
218847_at,IGF2BP2
201393_s_at,IGF2R
212143_s_at,IGFBP3
215980_s_at,IGHMBP2
209341_s_at,IKBKB
204549_at,IKBKE
205039_s_at,IKZF1
201887_at,IL13RA1
205067_at,IL1B
205227_at,IL1RAP
203233_at,IL4R
201234_at,ILK
203126_at,IMPA2
202794_at,INPP1
205376_at,INPP4B
201626_at,INSIG1
202809_s_at,INTS3
203546_at,IPO13
200791_s_at,IQGAP1
218170_at,ISOC1
221449_s_at,ITFG1
205055_at,ITGAE
203336_s_at,ITGB1BP1
201125_s_at,ITGB5
212660_at,JADE2
212723_at,JMJD6
201466_s_at,JUN
202423_at,KAT6A
212462_at,KAT6B
204679_at,KCNK1
218474_s_at,KCTD5
200698_at,KDELR2
204017_at,KDELR3
212689_s_at,KDM3A
201548_s_at,KDM5B
202417_at,KEAP1
205406_s_at,KHDC1
202220_at,KHDC4
204711_at,KIAA0753
206364_at,KIF14
218755_at,KIF20A
209408_at,KIF2C
203130_s_at,KIF5C
212453_at,KIFBP
205051_s_at,KIT
217906_at,KLHDC2
203068_at,KLHL21
213233_s_at,KLHL9
201695_s_at,KLK8
200915_x_at,KTN1
219061_s_at,LAGE3
203726_s_at,LAMA3
217971_at,LAMTOR3
217933_s_at,LAP3
200618_at,LASP1
201795_at,LBR
208936_x_at,LGALS8
201212_at,LGMN
218523_at,LHPP
202726_at,LIG1
210582_s_at,LIMK2
201847_at,LIPA
203570_at,LOXL1
206723_s_at,LPAR2
202651_at,LPGAT1
201412_at,LRP10
201186_at,LRPAP1
218577_at,LRRC40
201932_at,LRRC41
211747_s_at,LSM5
205036_at,LSM6
208190_s_at,LSR
210754_s_at,LYN
204952_at,LYPD3
203007_x_at,LYPLA1
203897_at,LYRM1
208634_s_at,MACF1
203094_at,MAD2L1BP
208309_s_at,MALT1
205088_at,MAMLD1
202032_s_at,MAN2A2
209166_s_at,MAN2B1
204756_at,MAP2K5
204089_x_at,MAP3K4
206571_s_at,MAP4K4
202889_x_at,MAP7
210058_at,MAPK13
212644_s_at,MAPK1IP1L
203218_at,MAPK9
201460_at,MAPKAPK2
202788_at,MAPKAPK3
212871_at,MAPKAPK5
221560_at,MARK4
215903_s_at,MAST2
200768_s_at,MAT2A
201152_s_at,MBNL1
203640_at,MBNL2
209179_s_at,MBOAT7
201620_at,MBTPS1
201555_at,MCM3
219952_s_at,MCOLN1
220094_s_at,MCUR1
210153_s_at,ME2
207968_s_at,MEF2C
212830_at,MEGF9
204825_at,MELK
202016_at,MEST
219051_x_at,METRN
209215_at,MFSD10
204168_at,MGST2
221779_at,MICALL1
217871_s_at,MIF
221856_s_at,MINDY1
209467_s_at,MKNK1
200617_at,MLEC
211071_s_at,MLLT11
204475_at,MMP1
201069_at,MMP2
203565_s_at,MNAT1
202427_s_at,MPC2
205079_s_at,MPDZ
201875_s_at,MPZL1
203931_s_at,MRPL12
203465_at,MRPL19
218046_s_at,MRPS16
218001_at,MRPS2
202911_at,MSH6
219281_at,MSRA
211783_s_at,MTA1
219363_s_at,MTERF3
203346_s_at,MTF2
203208_s_at,MTFR1
201761_at,MTHFD2
207847_s_at,MUC1
202180_s_at,MVP
201710_at,MYBL2
202431_s_at,MYC
203360_s_at,MYCBP
201959_s_at,MYCBP2
201058_s_at,MYL9
202555_s_at,MYLK
201976_s_at,MYO10
217745_s_at,NAA50
201774_s_at,NCAPD2
204725_s_at,NCK1
203315_at,NCK2
207700_s_at,NCOA3
218407_x_at,NENF
201829_at,NET1
207416_s_at,NFATC3
205897_at,NFATC4
201146_at,NFE2L2
203574_at,NFIL3
207535_s_at,NFKB2
201502_s_at,NFKBIA
214062_x_at,NFKBIB
203927_at,NFKBIE
217722_s_at,NGRN
213918_s_at,NIPBL
201709_s_at,NIPSNAP1
201591_s_at,NISCH
202891_at,NIT1
201158_at,NMT1
202784_s_at,NNT
221567_at,NOL3
205895_s_at,NOLC1
205581_s_at,NOS3
217950_at,NOSIP
218902_at,NOTCH1
202679_at,NPC1
218086_at,NPDC1
89476_r_at,NPEPL1
203246_s_at,NPRL2
218215_s_at,NR1H2
209262_s_at,NR2F6
216321_s_at,NR3C1
202647_s_at,NRAS
202599_s_at,NRIP1
215093_at,NSDHL
217830_s_at,NSFL1C
218051_s_at,NT5DC2
203675_at,NUCB2
201270_x_at,NUDCD3
218375_at,NUDT9
202184_s_at,NUP133
202153_s_at,NUP62
218014_at,NUP85
202900_s_at,NUP88
202188_at,NUP93
218039_at,NUSAP1
207877_s_at,NVL
205085_at,ORC1
208717_at,OXA1L
202780_at,OXCT1
202696_at,OXSR1
202733_at,P4HA2
222125_s_at,P4HTM
218744_s_at,PACSIN3
202093_s_at,PAF1
200816_s_at,PAFAH1B1
203228_at,PAFAH1B3
201014_s_at,PAICS
209615_s_at,PAK1
203154_s_at,PAK4
219461_at,PAK6
203117_s_at,PAN2
218809_at,PANK2
218271_s_at,PARL
203905_at,PARN
208644_at,PARP1
214086_s_at,PARP2
121_at,PAX8
203557_s_at,PCBD1
212694_s_at,PCCB
202847_at,PCK2
202174_s_at,PCM1
205202_at,PCMT1
201202_at,PCNA
205463_s_at,PDGFA
203067_at,PDHX
203857_s_at,PDIA5
208690_s_at,PDLIM1
212140_at,PDS5A
204742_s_at,PDS5B
221142_s_at,PECR
202108_at,PEPD
205251_at,PER2
205161_s_at,PEX11A
201707_at,PEX19
201102_s_at,PFKL
200886_s_at,PGAM1
201968_s_at,PGM1
201121_s_at,PGRMC1
212726_at,PHF2
201397_at,PHGDH
205450_at,PHKA1
202738_s_at,PHKB
203709_at,PHKG2
205452_at,PIGB
217872_at,PIH1D1
204484_at,PIK3C2B
204297_at,PIK3C3
204369_at,PIK3CA
202743_at,PIK3R3
212740_at,PIK3R4
202927_at,PIN1
201080_at,PIP4K2B
218667_at,PJA1
202328_s_at,PKD1
202732_at,PKIG
204458_at,PLA2G15
210145_at,PLA2G4A
213384_x_at,PLCB3
218290_at,PLEKHJ1
212717_at,PLEKHM1
202240_at,PLK1
202185_at,PLOD3
201136_at,PLP2
209147_s_at,PLPP1
205190_at,PLS1
202446_s_at,PLSCR1
56197_at,PLSCR3
204285_s_at,PMAIP1
203201_at,PMM2
218961_s_at,PNKP
203616_at,POLB
203213_at,POLD1
202996_at,POLD4
205909_at,POLE2
205811_at,POLG2
207515_s_at,POLR1C
212955_s_at,POLR2I
202635_s_at,POLR2K
219459_at,POLR3B
202868_s_at,POP4
37152_at,PPARD
208510_s_at,PPARG
204517_at,PPIC
202494_at,PPIE
201489_at,PPIF
204788_s_at,PPOX
216347_s_at,PPP1R13B
207749_s_at,PPP2R3A
218852_at,PPP2R3C
202187_s_at,PPP2R5A
204611_s_at,PPP2R5B
203338_at,PPP2R5E
202429_s_at,PPP3CA
201594_s_at,PPP4R1
203456_at,PRAF2
201494_at,PRCP
202801_at,PRKACA
218292_s_at,PRKAG2
202545_at,PRKCD
206099_at,PRKCH
210038_at,PRKCQ
204061_at,PRKX
207808_s_at,PROS1
209161_at,PRPF4
219127_at,PRR15L
219742_at,PRR7
202458_at,PRSS23
209586_s_at,PRUNE1
209337_at,PSIP1
202659_at,PSMB10
209040_s_at,PSMB8
219485_s_at,PSMD10
200830_at,PSMD2
200882_s_at,PSMD4
203447_at,PSMD5
207805_s_at,PSMD9
200814_at,PSME1
201762_s_at,PSME2
201052_s_at,PSMF1
203405_at,PSMG1
201896_s_at,PSRC1
204054_at,PTEN
204748_at,PTGS2
208820_at,PTK2
203110_at,PTK2B
202716_at,PTPN1
202006_at,PTPN12
206687_s_at,PTPN6
207238_s_at,PTPRC
200636_s_at,PTPRF
203038_at,PTPRK
209899_s_at,PUF60
201608_s_at,PWP1
219076_s_at,PXMP2
201087_at,PXN
202148_s_at,PYCR1
202990_at,PYGL
218948_at,QRSL1
203884_s_at,RAB11FIP2
220964_s_at,RAB1B
203885_at,RAB21
209515_s_at,RAB27A
217763_s_at,RAB31
213531_s_at,RAB3GAP1
203582_s_at,RAB4A
203573_s_at,RABGGTA
207419_s_at,RAC2
201223_s_at,RAD23B
206066_s_at,RAD51C
204828_at,RAD9A
211318_s_at,RAE1
202052_s_at,RAI14
214435_x_at,RALA
202100_at,RALB
209050_s_at,RALGDS
202362_at,RAP1A
203911_at,RAP1GAP
211605_s_at,RARA
202677_at,RASA1
203132_at,RB1
219222_at,RBKS
202689_at,RBM15B
212591_at,RBM34
201967_at,RBM6
208872_s_at,REEP5
205205_at,RELB
203696_s_at,RFC2
203209_at,RFC5
212968_at,RFNG
202963_at,RFX5
202388_at,RGS2
201453_x_at,RHEB
200059_s_at,RHOA
212651_at,RHOBTB1
207993_s_at,RHOV
212047_s_at,RNF167
206050_s_at,RNH1
202683_s_at,RNMT
200060_s_at,RNPS1
201528_at,RPA1
201756_at,RPA2
209507_at,RPA3
218462_at,RPF1
212973_at,RPIA
210115_at,RPL39L
201011_at,RPN1
205562_at,RPP38
200024_at,RPS5
200081_s_at,RPS6
203379_at,RPS6KA1
201628_s_at,RRAGA
216913_s_at,RRP12
212846_at,RRP1B
203171_s_at,RRP8
209567_at,RRS1
201980_s_at,RSU1
203594_at,RTCA
34408_at,RTN2
201614_s_at,RUVBL1
204808_s_at,RXYLT1
202598_at,S100A13
203186_s_at,S100A4
202797_at,SACM1L
208741_at,SAP18
203408_s_at,SATB1
203250_at,SCAF8
218206_x_at,SCAND1
201819_at,SCARB1
201825_s_at,SCCPDH
201339_s_at,SCP2
201462_at,SCRN1
205607_s_at,SCYL3
202675_at,SDHB
202083_s_at,SEC14L1
202798_at,SEC24B
202361_at,SEC24C
219499_at,SEC61A2
57703_at,SENP5
202318_s_at,SENP6
202627_s_at,SERPINE1
219382_at,SERTAD3
218346_s_at,SESN1
213153_at,SETD1B
203155_at,SETDB1
213370_s_at,SFMBT1
209260_at,SFN
205120_s_at,SGCB
201739_at,SGK1
201811_x_at,SH3BP5
204656_at,SHB
201469_s_at,SHC1
208078_s_at,SIK1
221562_s_at,SIRT3
203727_at,SKIC2
221531_at,SKIC8
200711_s_at,SKP1
203123_s_at,SLC11A2
207038_at,SLC16A6
212811_x_at,SLC1A4
203775_at,SLC25A13
204587_at,SLC25A14
202825_at,SLC25A4
212833_at,SLC25A46
222217_s_at,SLC27A3
201250_s_at,SLC2A1
220091_at,SLC2A6
203306_s_at,SLC35A1
206770_s_at,SLC35A3
202433_at,SLC35B1
218826_at,SLC35F2
213119_at,SLC36A1
202830_s_at,SLC37A4
204087_s_at,SLC5A6
