platemap,compound_wells,with_L1000,plates
H-CBLJ-001-4,323,323,26724 26730 26744 26745
H-CBLC-001-4,320,320,24595 24596 24602 24604
H-CBLC-003-4,320,320,24618 24619 24623
H-CBLE-003-4,320,320,24664 24666 24667 24683
H-CBLE-002-4,320,320,24656 24657 24661 24663
H-CBLD-003-4,320,320,24740 24750 24751
H-CBLD-001-4,320,320,24726 24731 24732 24733
H-CBLC-006-4,320,320,24642 24643 24644 24645
H-CBLC-005-4,320,320,24638 24639 24640 24641
H-CBLC-004-4,320,320,24624 24625 24631 24633
H-CBLC-002-4,320,320,24605 24609 24611 24617
H-CBLE-008-4,320,320,24772 24774 24775 24783
C-2113-01-D39-001,320,320,26071 26081 26107 26110
H-CBLB-005-4,320,320,24591 24592 24593 24594
H-CBLB-004-4,320,320,24585 24586 24588 24590
H-CBLB-003-4,320,320,24565 24566 24583 24584
H-CBLB-002-4,320,320,24560 24562 24563 24564
H-CBLA-003-4,320,320,24518 24523 24525
H-CBLE-005-4,320,320,25993 25994 25997 26002
H-CBLE-009-4,320,320,24785 24789 24792
H-CBLA-001-4,320,320,24507 24508 24509
H-CBLF-001-4,320,320,25848 25849 25852 25853
H-CBLO-001-4,320,320,26644 26662 26663 26664
H-CBLN-002-4,320,320,26640 26641 26642 26643
H-CBLN-001-4,320,320,26767 26768 26771 26772
H-CBLJ-002-4,320,320,26752 26753 26765 26785
H-CBLH-005-4,320,320,26006 26007 26008 26009
H-CBLH-003-4,320,320,26595 26596 26598 26600
H-CBLH-002-4,320,320,26579 26580 26588 26592
H-CBLG-008-4,320,320,26521 26531 26542 26626
H-CBLG-006-4,320,320,26601 26607 26608 26611
H-CBLG-005-4,320,320,25925 25929 25931 25935
H-CBLG-004-4,320,320,25915 25918 25923
H-CBLG-003-4,320,320,25904 25912 25913 25914
H-CBLG-002-4,320,320,25891 25892 25903 25911
H-CBLG-001-4,320,320,25847 25890 25908 25909
H-CBLF-002-4,320,320,25854 25855 25856 25857
H-CBLA-002-4,320,320,24514 24515 24516 24517
H-CBLP-002-4,320,320,26670 26671 26672 26673
C-2113-01-D39-002,320,320,26058 26060 26061 26092
H-BIOA-004-3,320,320,24277 24296 24308 24309 25967 25968 25983 25984
H-BIOA-003-3,320,320,24305 24306 24307 24352 25955 25962 25965 25966
H-BIOA-002-3,320,320,24301 24302 24303 24304 25944 25945 25949
C-2113-01-D39-004,320,320,26128 26133 26135 26159
C-2113-01-D39-005,320,320,26138 26140 26166 26271
H-BIOA-006-3,320,320,24319 24320 24321 24357 25989 25990 25991 25992
C-2113-01-D39-029,320,320,25593 25594 25598 25599
H-CBLG-007-4,320,319,26612 26622 26623 26625
H-CBLE-006-4,320,319,24752 24753 24754 24755
H-CBLO-002-4,320,319,26666 26668 26669 26786
C-2113-01-D39-017,320,319,25638 25639 25641 25642
H-CBLE-007-4,320,319,24756 24758 24759 24773
H-CBLG-009-4,320,319,26544 26545 26562 26563
H-CBLE-001-4,320,319,24652 24653 24654 24655
H-CBLH-006-4,320,319,26685 26688 26695 26705
H-CBLP-001-4,320,319,26674 26675 26677 26678
H-BIOA-001-3,319,319,24294 24295 24297 24300 25937 25938 25939 25943
H-BIOA-005-3,320,319,24310 24311 24312 24313 25985 25986 25987 25988
H-CBLE-004-4,320,319,24684 24685 24687 24688
H-CBLK-001-4,320,318,26702 26703 26739 26748
H-CBLD-002-4,320,314,24734 24735 24736 24739
H-CBLF-003-4,304,304,25858 25859 25862 25885
H-CBLH-001-4,300,299,26575 26576 26577 26578
H-CBLD-004-4,320,174,26679 26680 26794 26795
C-2113-01-CMP-002,90,90,25739 25740 25741 25742
C-2113-01-D39-006,320,14,26174 26181 26202 26203
C-2113-01-D39-013,320,12,25406 25428 25430 25432
C-2113-01-D39-019,320,11,25707 25708 25725
C-2113-01-D39-018,320,10,25726 25732 25738
C-2113-01-D39-025,320,10,25565 25566 25567
C-2113-01-D39-032,315,9,25584 25585 25587 25605
C-2113-01-D39-016,320,9,25643 25663 25664 25665
C-2113-01-D39-030,320,8,25503 25553 25564
C-2113-01-D39-015,320,8,25434 25435 25436 25485
C-2113-01-D39-021,320,7,25689 25690 25692 25724
C-2113-01-D39-011,320,7,25391 25392 25403 25416
C-2113-01-D39-009,320,7,25372 25374 25376 25418
C-2113-01-D39-014,320,6,25438 25488 25490 25492
C-2113-01-D39-022,320,6,25681 25683 25686 25688
C-2113-01-D39-028,320,6,25573 25575 25576 25578
C-2113-01-D39-031,320,5,25588 25590 25591 25592
C-2113-01-D39-010,320,5,25378 25380 25382 25387
C-2113-01-D39-023,320,5,25677 25678 25679 25680
C-2113-01-D39-024,320,4,25667 25674 25675 25676
C-2113-01-D39-027,320,4,25569 25570 25571 25572
C-2113-01-D39-007,320,4,26204 26205 26207 26216
C-2113-01-D39-012,320,4,24512 25408 25410 25414
C-2113-01-D39-003,320,4,26115 26118 26124 26126
C-2113-01-D39-008,320,3,25420 25422 25424 25426
C-2113-01-D39-020,320,3,25694 25695 25700 25704
C-2113-01-D39-026,320,3,25579 25580 25581 25583
H-BIOA-007-3,320,1,24278 24279 24280 24293 26224 26232 26239 26247
H-CBLH-007-4,320,0,26681 26682 26683 26684
H-CBLG-010-4,169,0,26564 26569 26572 26574
H-CBLC-007-4,320,0,24646 24647 24648 24651
H-CBLB-006-4,320,0,24634 24635 24636 24637
H-CBLE-010-4,320,0,24793 24795 24796 24797
