# One plate per fully-L1000-covered platemap, drawn uniformly at random
# with numpy default_rng(seed=2026), 11 Sep 2026. For the 50-platemap screen.
platemap,plate,n_replicates
C-2113-01-CMP-002,25742,4
C-2113-01-D39-001,26071,4
C-2113-01-D39-002,26058,4
C-2113-01-D39-004,26135,4
C-2113-01-D39-005,26140,4
C-2113-01-D39-029,25594,4
H-BIOA-001-3,24294,8
H-BIOA-002-3,24303,7
H-BIOA-003-3,25962,8
H-BIOA-004-3,24308,8
H-BIOA-006-3,25991,8
H-CBLA-001-4,24509,3
H-CBLA-002-4,24516,4
H-CBLA-003-4,24525,3
H-CBLB-002-4,24563,4
H-CBLB-003-4,24565,4
H-CBLB-004-4,24590,4
H-CBLB-005-4,24593,4
H-CBLC-001-4,24595,4
H-CBLC-002-4,24609,4
H-CBLC-003-4,24618,3
H-CBLC-004-4,24633,4
H-CBLC-005-4,24640,4
H-CBLC-006-4,24645,4
H-CBLD-001-4,24731,4
H-CBLD-003-4,24750,3
H-CBLE-002-4,24661,4
H-CBLE-003-4,24683,4
H-CBLE-005-4,25993,4
H-CBLE-008-4,24775,4
H-CBLE-009-4,24789,3
H-CBLF-001-4,25853,4
H-CBLF-002-4,25856,4
H-CBLF-003-4,25859,4
H-CBLG-001-4,25890,4
H-CBLG-002-4,25892,4
H-CBLG-003-4,25904,4
H-CBLG-004-4,25915,3
H-CBLG-005-4,25925,4
H-CBLG-006-4,26601,4
H-CBLG-008-4,26626,4
H-CBLH-002-4,26588,4
H-CBLH-003-4,26595,4
H-CBLH-005-4,26007,4
H-CBLJ-001-4,26730,4
H-CBLJ-002-4,26765,4
H-CBLN-001-4,26772,4
H-CBLN-002-4,26640,4
H-CBLO-001-4,26662,4
H-CBLP-002-4,26671,4
