,Average Cell Thickness,Average TBM Thickness,Contrast Eosinophilic,Contrast Luminal Space,Contrast Nuclei,Correlation Eosinophilic,Correlation Luminal Space,Correlation Nuclei,Energy Nuclei,Eosinophilic Area,Homogeneity Eosinophilic,Homogeneity Luminal Space,Homogeneity Nuclei,Luminal Fraction,Luminal Space Area,Major Axis Length,Max Distance Transform By Object Area Nuclei,Max Distance Transform Luminal Space,Max Distance Transform Nuclei,Mean Aspect Ratio Nuclei,Mean Blue Eosinophilic,Mean Blue Luminal Space,Mean Distance Transform By Eosinophilic Area,Mean Distance Transform By Luminal Space Area,Mean Distance Transform By Object Area Eosinophilic,Mean Distance Transform By Object Area Luminal Space,Mean Distance Transform By Object Area Nuclei,Mean Green Eosinophilic,Mean Green Luminal Space,Mean Nuclear Area,Mean Red Eosinophilic,Mean Red Luminal Space,Nuclei Area By Object Area,Nuclei Number,Radius (pixel),Standard Deviation Aspect Ratio Nuclei,Standard Deviation Blue Luminal Space,Standard Deviation Blue Nuclei,Standard Deviation Green Eosinophilic,Standard Deviation Green Luminal Space,Standard Deviation Green Nuclei,Standard Deviation Red Eosinophilic,Standard Deviation Red Luminal Space,Standard Deviation Red Nuclei,Sum Distance Transform By Luminal Space Area,Sum Distance Transform By Object Area Eosinophilic,Sum Distance Transform By Object Area Luminal Space,Sum Distance Transform By Object Area Nuclei,Sum Distance Transform Eosinophilic,Sum Distance Transform Luminal Space,Sum Distance Transform Nuclei,Total Object Area,Total Object Aspect Ratio
Average Cell Thickness,1.0,0.4999,0.3211,-0.4873,-0.4381,0.5258,-0.3807,0.337,0.2075,0.6571,-0.6235,0.4821,0.4211,-0.84,-0.2099,0.2635,-0.0993,-0.3707,0.4066,-0.265,-0.1514,-0.4642,-0.5425,0.4823,0.4192,-0.5662,-0.068,-0.368,-0.6124,0.253,-0.1827,-0.4017,0.3502,-0.0201,0.3366,-0.1409,0.1176,-0.5544,0.3861,0.136,-0.5084,0.3342,0.128,-0.1928,-0.2978,0.665,-0.5735,0.3236,0.6652,-0.1993,0.4156,0.2887,-0.0004
Average TBM Thickness,0.4999,1.0,0.3736,-0.7029,-0.6262,0.784,0.0326,0.4871,0.2892,0.7991,-0.7319,0.7947,0.5716,-0.3103,-0.2995,0.2393,-0.003,-0.1044,0.2984,0.0329,-0.3892,0.1468,-0.6543,0.63,0.542,-0.2077,0.079,-0.5964,0.0697,0.4926,-0.1466,0.2536,0.5328,-0.1953,0.2457,0.1284,-0.1946,-0.2463,0.7497,-0.1414,-0.5738,0.6282,-0.2542,-0.1295,0.1296,0.7355,-0.3742,0.3622,0.7551,-0.0435,0.452,0.3075,0.0716
Contrast Eosinophilic,0.3211,0.3736,1.0,-0.1603,-0.5047,0.18,-0.1485,0.1189,-0.0969,0.4622,-0.6206,0.484,0.0521,-0.3577,-0.477,-0.1746,0.1524,-0.2945,0.0076,-0.1136,0.2174,0.0058,-0.8026,0.0791,0.3111,-0.0045,0.1364,-0.0903,-0.1795,0.1084,0.0611,0.015,0.2681,-0.2513,-0.1121,-0.0674,0.2781,0.0691,0.5017,0.4309,-0.1468,0.4869,0.229,0.1582,-0.1408,0.3312,-0.4487,0.1247,0.2644,-0.3404,-0.0524,-0.1264,-0.1273
Contrast Luminal Space,-0.4873,-0.7029,-0.1603,1.0,0.8586,-0.7469,-0.3187,-0.8247,-0.5038,-0.6991,0.7095,-0.8429,-0.8017,0.2303,0.3903,-0.1414,-0.3118,0.0234,-0.623,0.089,0.536,-0.1262,0.6145,-0.7212,-0.6316,-0.0403,-0.3239,0.7952,-0.0666,-0.8084,0.6078,-0.0311,-0.8297,0.5458,-0.0571,-0.0247,0.1197,0.3128,-0.769,-0.0051,0.6917,-0.7717,-0.0073,-0.1511,-0.2974,-0.7512,0.2385,-0.7321,-0.7083,0.0455,-0.4581,-0.1424,-0.1637
Contrast Nuclei,-0.4381,-0.6262,-0.5047,0.8586,1.0,-0.5871,-0.2218,-0.7887,-0.4059,-0.7027,0.8246,-0.8471,-0.731,0.3308,0.5934,0.0732,-0.49,0.2209,-0.6347,0.271,0.4418,-0.05,0.8015,-0.5823,-0.6417,-0.0825,-0.4445,0.7724,0.045,-0.7714,0.6586,0.0798,-0.7944,0.6817,0.1142,0.1279,-0.1983,0.1468,-0.8871,-0.3567,0.6401,-0.9447,-0.3266,-0.3596,-0.1107,-0.7221,0.4232,-0.8066,-0.6344,0.2757,-0.3035,0.0585,-0.0599
Correlation Eosinophilic,0.5258,0.784,0.18,-0.7469,-0.5871,1.0,-0.1272,0.4829,0.3519,0.8175,-0.7934,0.8487,0.6816,-0.3937,-0.4309,0.1856,0.0773,-0.2863,0.2593,-0.0455,-0.6789,0.1846,-0.4684,0.7682,0.6848,-0.2661,0.1765,-0.7968,0.1313,0.4419,-0.3344,0.3125,0.5035,-0.2048,0.1269,0.0316,-0.2318,-0.4767,0.7468,-0.2311,-0.7866,0.5778,-0.3481,-0.3631,-0.0267,0.8801,-0.5252,0.3582,0.8506,-0.2113,0.3466,0.1897,0.1368
Correlation Luminal Space,-0.3807,0.0326,-0.1485,-0.3187,-0.2218,-0.1272,1.0,0.4562,0.2346,-0.1668,0.2457,0.0152,0.1784,0.6298,0.2521,0.1138,0.0683,0.7142,0.375,0.2596,0.0142,0.3532,-0.0787,-0.2066,-0.2559,0.4994,0.0139,-0.0268,0.4348,0.5405,-0.2477,0.1265,0.4308,-0.3314,0.083,0.2974,-0.2807,0.2764,0.0109,-0.1531,0.1215,0.1633,-0.0401,0.5243,0.814,-0.3097,0.6706,0.3876,-0.2497,0.4975,0.2709,0.1285,0.0687
Correlation Nuclei,0.337,0.4871,0.1189,-0.8247,-0.7887,0.4829,0.4562,1.0,0.5377,0.4602,-0.4744,0.5988,0.7868,-0.1185,-0.2623,0.0727,0.46,0.0667,0.7992,-0.1189,-0.4264,0.0225,-0.5021,0.4602,0.4388,0.1532,0.3986,-0.6083,-0.0024,0.9385,-0.5778,-0.1061,0.8884,-0.6694,-0.0167,0.0748,-0.0508,-0.1573,0.5724,0.0834,-0.4623,0.6458,0.1561,0.3491,0.3221,0.4869,-0.0669,0.9117,0.4536,0.0488,0.4791,0.0901,0.1363
Energy Nuclei,0.2075,0.2892,-0.0969,-0.5038,-0.4059,0.3519,0.2346,0.5377,1.0,0.363,-0.1946,0.3622,0.8413,-0.1145,0.0714,0.5736,0.1453,0.042,0.5085,-0.1149,-0.2269,-0.0537,-0.2375,0.3442,0.2591,-0.1501,0.2447,-0.3234,-0.0633,0.4625,-0.2709,-0.1125,0.4362,-0.1295,0.0812,0.1459,-0.0516,-0.0632,0.2858,-0.016,-0.2785,0.3291,0.0552,0.1631,0.1168,0.2818,-0.0701,0.505,0.3546,0.1602,0.5224,0.3483,0.8132
Eosinophilic Area,0.6571,0.7991,0.4622,-0.6991,-0.7027,0.8175,-0.1668,0.4602,0.363,1.0,-0.8668,0.8587,0.6406,-0.5157,-0.3801,0.3172,0.0417,-0.2942,0.3972,-0.2108,-0.434,0.0524,-0.6872,0.7121,0.6478,-0.3713,0.1588,-0.67,-0.0648,0.4348,-0.2934,0.1239,0.5128,-0.1028,0.3041,-0.0789,-0.0174,-0.3027,0.7909,0.0456,-0.6636,0.6789,-0.0756,-0.101,-0.0798,0.865,-0.5864,0.4472,0.9494,-0.1849,0.5455,0.3786,0.132
Homogeneity Eosinophilic,-0.6235,-0.7319,-0.6206,0.7095,0.8246,-0.7934,0.2457,-0.4744,-0.1946,-0.8668,1.0,-0.9235,-0.5848,0.5844,0.6972,0.0725,-0.2815,0.5083,-0.3084,0.2608,0.4677,-0.0629,0.7864,-0.6921,-0.7616,0.2083,-0.3007,0.7643,0.0809,-0.4376,0.4106,-0.1005,-0.5534,0.4,0.0464,0.1754,-0.133,0.3571,-0.9129,-0.2301,0.7578,-0.8216,-0.0724,0.0794,0.2123,-0.9298,0.7428,-0.4679,-0.8291,0.4731,-0.1819,0.0395,0.031
Homogeneity Luminal Space,0.4821,0.7947,0.484,-0.8429,-0.8471,0.8487,0.0152,0.5988,0.3622,0.8587,-0.9235,1.0,0.7038,-0.3047,-0.5752,0.0644,0.2523,-0.2351,0.3627,-0.0926,-0.5297,0.2808,-0.7486,0.7245,0.7268,-0.0689,0.301,-0.8079,0.1726,0.5939,-0.4441,0.2772,0.6913,-0.4365,0.0116,0.0092,-0.0613,-0.2848,0.919,0.0652,-0.7411,0.8313,-0.0847,-0.0143,0.0988,0.8859,-0.4909,0.5276,0.8188,-0.2399,0.3112,0.0773,0.1082
Homogeneity Nuclei,0.4211,0.5716,0.0521,-0.8017,-0.731,0.6816,0.1784,0.7868,0.8413,0.6406,-0.5848,0.7038,1.0,-0.3063,-0.2678,0.3387,0.3253,-0.1531,0.6578,-0.2076,-0.5384,0.0087,-0.4821,0.639,0.5679,-0.1507,0.3791,-0.7153,-0.0284,0.7144,-0.5381,-0.0415,0.685,-0.3941,0.038,0.0378,-0.0465,-0.2879,0.6654,0.0234,-0.6394,0.6697,0.0548,0.0964,0.0666,0.6667,-0.335,0.7529,0.6611,-0.0671,0.5214,0.22,0.5066
Luminal Fraction,-0.84,-0.3103,-0.3577,0.2303,0.3308,-0.3937,0.6298,-0.1185,-0.1145,-0.5157,0.5844,-0.3047,-0.3063,1.0,0.3797,-0.0349,-0.0928,0.7248,-0.1949,0.4781,0.1173,0.6051,0.4252,-0.4181,-0.4784,0.5594,-0.1124,0.2955,0.751,0.0128,0.1339,0.4894,-0.092,0.0028,-0.0321,0.3891,-0.332,0.5269,-0.3471,-0.294,0.4875,-0.3038,-0.2819,0.2795,0.6942,-0.5969,0.8277,-0.1798,-0.5448,0.5213,-0.1014,-0.0103,-0.0329
Luminal Space Area,-0.2099,-0.2995,-0.477,0.3903,0.5934,-0.4309,0.2521,-0.2623,0.0714,-0.3801,0.6972,-0.5752,-0.2678,0.3797,1.0,0.6815,-0.6048,0.697,0.0259,0.1817,0.3788,-0.0478,0.4655,-0.4564,-0.6505,-0.2384,-0.5158,0.5775,0.0306,-0.2246,0.3974,-0.0658,-0.26,0.6846,0.6613,0.2256,-0.2913,0.1478,-0.6733,-0.369,0.4938,-0.6313,-0.2238,0.0183,0.3808,-0.6228,0.6864,-0.2843,-0.4308,0.8679,0.4822,0.7121,0.1805
